% NTS
%Depth	Dip_Direction from north	Dip_Angle	Criticality
3144.2   127.8       55.3        1
3145     294.8       59.5        1
3146.9   104.300003  34.200001   0
3147.2   255.699997  34.200001   0
3148.9   129.800003  27          0
3149.8   257         61.900002   0
3150.5   248.5       59.5        0
3151.8   234.100006  46.599998   0
3152.9   268.700012  39.099998   0
3153.8   250.399994  50.700001   0
3154.1   125.9       41.8        0
3154.4   277.2       57.1        0
3154.9   325.4       59.7        1
3155.2   250.399994  36.200001   0
3156.6   275.2       59.7        0
3157.4   249.800003  36.200001   0
3158.6   201.5       60.799999   0
3159.4   259.600006  60.799999   0
3160.7   6.5         59.7        1
3161.6   185.899994  22.1        0
3162.8   178.7       70.7        1
3163.4   213.300003  71.599998   0
3165.8   244.600006  36.200001   0
3166.8   216         25          0
3167.1   244.100006  47.400002   0
3169.7   167.6       62.7        1
3170.6   232.399994  51.200001   0
3171.5   78.5        52.799999   0
3172.7   248.100006  13.1        0
3173.1   213.399994  51.200001   0
3174     318.8       57.2        1
3176.9   172.8       73.3        1
3177.1   170.2       57.2        1
3179.1   180         51.4        0
3180.9   210.699997  62.900002   0
3181.3   264.799988  25.200001   0
3182.3   217.800003  40.700001   0
3183.5   296.100006  8.9         0
3184.1   238.699997  45.5        0
3185.2   225.699997  53.099998   0
3187.4   266.700012  25.200001   0
3188.1   277.799988  28.700001   0
3189.4   221.699997  63.799999   0
3190.7   103.699997  38.099998   0
3191.5   243.300003  35.200001   0
3192.4   120         66.2        1
3193.4   243.899994  61          0
3194.7   274.600006  57.099998   0
3195.5   267.399994  62.599998   0
3196.4   181.300003  47.299999   0
3197.1   302         49.200001   1
3198.6   271.299988  42.900002   0
3199.6   180.699997  24.9        0
3200.8   258.299988  58.400002   0
3203.5   280.399994  68          0
3204.8   276.5       58.400002   0
3205.5   241.300003  55.799999   0
3206.1   256.299988  57.099998   0
3208.9   301.3       58.4        1
3209.2   258.899994  58.400002   0
3210.4   5.2         28.1        0
3211.6   217.199997  34.5        0
3212.4   33.299999   37.299999   0
3217.4   309.8       40          0
3218.6   2           62.3        1
3219.0   236.699997  20.9        0
3220.9   289.600006  12.9        0
3221.5   303.899994  31.4        0
3222.4   48.299999   48.799999   0
3223.7   51.5        52.299999   0
3224.6   48.299999   42.5        0
3226.7   257.600006  58.099998   0
3227.9   273.899994  22.9        0
3228.7   137         55.1        1
3229.5   50.900002   40.200001   0
3231.0   246.5       64.699997   0
3231.4   89.300003   61.700001   0
3232.9   117.4       64.7        1
3233.1   71.099998   47.700001   0
3234.8   242         40.200001   0
3235.6   238.699997  37.200001   0
3236.4   260.200012  58.099998   0
3237.7   275.9       51.7        0
3238.6   243.300003  42.900002   0
3239.6   252.399994  37.200001   0
3240.1   230.199997  45.900002   0
3241.6   274.6       57.2        0
3242.2   245.199997  42.900002   0
3244.1   268         48.700001   0
3246.4   228.300003  48.700001   0
3249.0   262.200012  35.900002   0
3249.3   232.800003  35.900002   0
3250.6   252.399994  27.299999   0
3251.4   253         42.900002   0
3252.4   230.899994  55.299999   0
3253.0   277.200012  55.299999   0
3254.6   186.5       75.7        1
3255.8   325.399994  40.400002   0
3256.2   272.600006  45.599998   0
3257.0   140.199997  60.700001   1
3258.6   141.5       34.200001   0
3259.6   133         59.5        1
3260.6   239.300003  23          0
3261.3   272         45.599998   0
3262.5   246.5       43.099998   0
3265.1   258.899994  50          0
3266.5   279.8       70.4        1
3267.2   334.6       60.7        1
3268.9   187.800003  47.900002   0
3269.4   204.100006  37.400002   0
3270.5   250         58          0
3271.5   233.5       42.5        0
3272.1   254.300003  59.099998   0
3274.2   70.4        30.3        0
3275.6   233.5       18.5        0
3279.9   206.699997  65.199997   0
3280     162.4       51.4        1
3284.7   280.4       58.5        0
3285.3   243.899994  70          0
3285.4   257         66.199997   0
3286.9   238         62.299999   0
3287.7   114.8       67.2        1
3288.3   37.799999   51.900002   0
3289.2   67.800003   40.400002   0
3299.6   358         40.4        0
3301.8   209.300003  71.699997   0
3302.5   205.399994  65.400002   0
3306.8   292.2       56.6        1
3308.7   273.9       65.4        0
3309.1   206.699997  26.799999   0
3310.2   264.100006  51.599998   0
3311.1   274.600006  42.799999   0
